sigla,nome,link
STF,Supremo Tribunal Federal,https://www.cnj.jus.br/poder-judiciario/tribunais/supremo-tribunal-federal-stf/
STJ,Superior Tribunal de Justiça,https://www.cnj.jus.br/poder-judiciario/tribunais/superior-tribunal-de-justica-stj/
CJF,Conselho da Justiça Federal,https://www.cnj.jus.br/poder-judiciario/tribunais/conselho-da-justica-federal-cjf/
STM,Superior Tribunal Militar,https://www.cnj.jus.br/poder-judiciario/tribunais/superior-tribunal-militar-stm/
TST,Tribunal Superior do Trabalho,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-superior-do-trabalho-tst/
CSJT,Conselho Superior da Justiça do Trabalho,https://www.cnj.jus.br/poder-judiciario/tribunais/conselho-superior-da-justica-do-trabalho-csjt/
TSE,Tribunal Superior Eleitoral,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-superior-eleitoral-tse/
TRF1,Tribunal Regional Federal da 1ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-1a-regiao-trf1/
TRF2,Tribunal Regional Federal da 2ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-2a-regiao-trf2/
TRF3,Tribunal Regional Federal da 3ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-3a-regiao-trf3/
TRF4,Tribunal Regional Federal da 4ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-4a-regiao-trf4/
TRF5,Tribunal Regional Federal da 5ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-5a-regiao-trf5/
TRF6,Tribunal Regional Federal da 6ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-federal-da-6a-regiao-trf6/
TJAC,Tribunal de Justiça do Acre,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-acre/
TJAL,Tribunal de Justiça de Alagoas,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-alagoas-tjal/
TJBA,Tribunal de Justiça da Bahia,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-da-bahia-tjba/
TJCE,Tribunal de Justiça do Ceará,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-ceara-tjce/
TJDFT,Tribunal de Justiça do Distrito Federal e Territórios,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-distrito-federal-e-territorios-tjdft/
TJES,Tribunal de Justiça do Espírito Santo,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-espirito-santo-tjes/
TJGO,Tribunal de Justiça de Goiás,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-goias-tjgo/
TJMA,Tribunal de Justiça do Maranhão,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-maranhao-tjma/
TJMT,Tribunal de Justiça de Mato Grosso,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-mato-grosso-tjmt/
TJMS,Tribunal de Justiça de Mato Grosso do Sul,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-mato-grosso-do-sul-tjms/
TJMG,Tribunal de Justiça de Minas Gerais,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-minas-gerais-tjmg/
TJPA,Tribunal de Justiça do Pará,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-para-tjpa/
TJPB,Tribunal de Justiça da Paraíba,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-da-paraiba-tjpb/
TJPR,Tribunal de Justiça do Paraná,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-parana-tjpr/
TJPE,Tribunal de Justiça de Pernambuco,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-da-justica-de-pernambuco-tjpe/
TJPI,Tribunal de Justiça do Piauí,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-piaui-tjpi/
TJRJ,Tribunal de Justiça do Rio de Janeiro,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-rio-de-janeiro-tjrj/
TJRN,Tribunal de Justiça do Rio Grande do Norte,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-rio-grande-do-norte-tjrn/
TJRS,Tribunal de Justiça do Rio Grande do Sul,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-rio-grande-do-sul-tjrs/
TJRO,Tribunal de Justiça de Rondônia,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-rondonia-tjro/
TJRR,Tribunal de Justiça de Roraima,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-roraima-tjrr/
TJSC,Tribunal de Justiça de Santa Catarina,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-santa-catarina-tjsc/
TJSP,Tribunal de Justiça de São Paulo,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-sao-paulo-tjsp/
TJSE,Tribunal de Justiça de Sergipe,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-de-sergipe-tjse/
TJTO,Tribunal de Justiça do Tocantins,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-do-tocantins-tjto/
TREAC,Tribunal Regional Eleitoral do Acre,http://www.tre-ac.jus.br/
TREAL,Tribunal Regional Eleitoral de Alagoas,http://www.tre-al.jus.br/
TREAP,Tribunal Regional Eleitoral do Amapá,http://www.tre-ap.jus.br/
TREAM,Tribunal Regional Eleitoral do Amazonas,http://www.tre-am.jus.br/
TREBA,Tribunal Regional Eleitoral da Bahia,http://www.tre-ba.jus.br/
TRECE,Tribunal Regional Eleitoral do Ceará,http://www.tre-ce.jus.br/
TREDF,Tribunal Regional Eleitoral do Distrito Federal,http://www.tre-df.jus.br/
TREES,Tribunal Regional Eleitoral do Espírito Santo,http://www.tre-es.jus.br/
TREGO,Tribunal Regional Eleitoral de Goiás,http://www.tre-go.jus.br/
TREMA,Tribunal Regional Eleitoral do Maranhão,http://www.tre-ma.jus.br/
TREMT,Tribunal Regional Eleitoral do Mato Grosso,http://www.tre-mt.jus.br/
TREMS,Tribunal Regional Eleitoral do Mato Grosso do Sul,http://www.tre-ms.jus.br/
TREMG,Tribunal Regional Eleitoral de Minas Gerais,http://www.tre-mg.jus.br/
TREPA,Tribunal Regional Eleitoral do Pará,http://www.tre-pa.jus.br/
TREPB,Tribunal Regional Eleitoral da Paraíba,http://www.tre-pb.jus.br/
TREPR,Tribunal Regional Eleitoral do Paraná,http://www.tre-pr.jus.br/
TREPE,Tribunal Regional Eleitoral de Pernambuco,http://www.tre-pe.jus.br/
TREPI,Tribunal Regional Eleitoral do Piauí,http://www.tre-pi.jus.br/
TRERJ,Tribunal Regional Eleitoral do Rio de Janeiro,http://www.tre-rj.jus.br/
TRERN,Tribunal Regional Eleitoral do Rio Grande do Norte,http://www.tre-rn.jus.br/
TRERS,Tribunal Regional Eleitoral do Rio Grande do Sul,http://www.tre-rs.jus.br/
TRERO,Tribunal Regional Eleitoral de Rondônia,http://www.tre-ro.jus.br/
TRERR,Tribunal Regional Eleitoral de Roraima,http://www.tre-rr.jus.br/
TRESC,Tribunal Regional Eleitoral de Santa Catarina,http://www.tre-sc.jus.br/
TRESP,Tribunal Regional Eleitoral de São Paulo,http://www.tre-sp.jus.br/
TRESE,Tribunal Regional Eleitoral de Sergipe,http://www.tre-se.jus.br/
TRETO,Tribunal Regional Eleitoral de Tocantins,http://www.tre-to.jus.br/
TRT1,Tribunal Regional do Trabalho da 1ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-1a-regiao-trt1/
TRT2,Tribunal Regional do Trabalho da 2ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-2a-regiao-trt2/
TRT3,Tribunal Regional do Trabalho da 3ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-3a-regiao-trt3/
TRT4,Tribunal Regional do Trabalho da 4ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-4a-regiao-trt4/
TRT5,Tribunal Regional do Trabalho da 5ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-5a-regiao-trt5/
TRT6,Tribunal Regional do Trabalho da 6ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-6a-regiao-trt6/
TRT7,Tribunal Regional do Trabalho da 7ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-7a-regiao-trt7/
TRT8,Tribunal Regional do Trabalho da 8ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-8a-regiao-trt8/
TRT9,Tribunal Regional do Trabalho da 9ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-9a-regiao-trt9/
TRT10,Tribunal Regional do Trabalho da 10ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-10a-regiao-trt10/
TRT11,Tribunal Regional do Trabalho da 11ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-11a-regiao-trt11/
TRT12,Tribunal Regional do Trabalho da 12ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-12a-regiao-trt12/
TRT13,Tribunal Regional do Trabalho da 13ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-13a-regiao-trt13/
TRT14,Tribunal Regional do Trabalho da 14ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-14a-regiao-trt14/
TRT15,Tribunal Regional do Trabalho da 15ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-15a-regiao-trt15/
TRT16,Tribunal Regional do Trabalho da 16ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-16a-regiao-trt16/
TRT17,Tribunal Regional do Trabalho da 17ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-17a-regiao-trt17/
TRT18,Tribunal Regional do Trabalho da 18ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-18a-regiao-trt18/
TRT19,Tribunal Regional do Trabalho da 19ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-19a-regiao-trt19/
TRT20,Tribunal Regional do Trabalho da 20ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-20a-regiao-trt20/
TRT21,Tribunal Regional do Trabalho da 21ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-21a-regiao-trt21/
TRT22,Tribunal Regional do Trabalho da 22ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-22a-regiao-trt22/
TRT23,Tribunal Regional do Trabalho da 23ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-23a-regiao-trt23/
TRT24,Tribunal Regional do Trabalho da 24ª Região,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-regional-do-trabalho-da-24a-regiao-trt24/
TJMMG,Tribunal de Justiça Militar de Minas Gerais,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-militar-de-minas-gerais-tjmmg/
TJMRS,Tribunal de Justiça Militar do Rio Grande do Sul,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-militar-do-rio-grande-do-sul-tjmrs/
TJMSP,Tribunal de Justiça Militar de São Paulo,https://www.cnj.jus.br/poder-judiciario/tribunais/tribunal-de-justica-militar-de-sao-paulo-tjmsp/
